By,Category,Original Complexity,Question,Translated Question,Complexity (SR),SR-time,CG-time,Val.1-time,Val.1 results,AN triggered?,AN-time,Val2-time,Val2 results,total-time,Match-score,Final Results
Wilhelm,Inventory / Stock,Medium,"How often was an ordered quantity split across different shipping boxes, and into how many boxes on average -in the last 6 month-?","""What is the frequency of split orders and the average number of boxes per order for completed orders that were fulfilled in the last 6 months and required more than one box?""",Very Difficult,28.71,334.93,2.6,True,False,,,False,366.25,0.95
Wilhelm,Transport / Shipping,Medium,How many different Transport unit Types where shipped last week and what is the their fillrate index?,"What is the average fill rate index (total volume divided by transport unit dimensions) for each type of transport unit, based on data from the previous week where all dimension measurements are available?",Very Difficult,22.08,456.54,0.78,True,False,,,False,479.41,0.8
GPT,Inventory / Stock,Difficult,What is the most common reason for stock corrections in the last 3 months?,"""What is the most common type of correction (UCTYP) made in the warehouse system in the last 3 months, and how many times did it occur?""",Difficult,23.88,10.66,9.31,True,False,,,False,43.86,0.7
GPT,Master-/Reference + Audit,Difficult,Which users triggered the highest number of changes in audit logs last month?,Which user made the most changes across all database tables in the previous calendar month?,Very Difficult,58.64,387.27,15.8,True,False,,,False,461.74,1.0
GPT,Orders / Fulfilment,Difficult,What is the median duration of the fulfillment process from picking to dispatch?,"What is the median time in minutes between when picking starts for transport units and when their associated tours are completed, considering only finished tours and finished transport units?",Very Difficult,24.29,258.36,36.97,True,False,,,False,319.63,1.0
GPT,Storage / Items,Difficult,Which item group had the highest number of articles stored across all warehouses?,"""What is the article group with the highest number of distinct article numbers, and how many distinct articles does it contain?""",Simple,16.76,9.77,0.58,True,False,,,False,27.12,0.9
GPT,Storage / Items,Difficult,What is the most common workflow assigned to articles that were created this year?,What is the most common article picking strategy used for items created since the beginning of this year?,Simple,27.61,11.28,0.3,True,True,273.27,0.81,True,313.28,0.9
GPT,Transport / Shipping,Difficult,Which carrier transported the highest total weight in hazardous shipments this year?,"""What is the name of the shipping carrier that has transported the highest total weight of hazardous goods shipments this year?""",Very Difficult,20.73,156.95,53.56,True,False,,,False,231.25,1.0
Joachim,Orders / Fulfilment,Difficult,"During goods-out order fulfillment in the warehouse over the past month, which station, area, or activity took the longest average time per order  and how many minutes was that on average?","""Which storage area had the highest average picking time per order (in minutes) for completed picks in the last month?""",Very Difficult,30.74,373.15,6.16,True,False,,,False,410.06,0.7
Ralf,Transport / Shipping,Difficult,"How many packages containing both tires and hazardous materials were shipped to France in May 2025? Wie viele PackstÃ¼cke die Reifen und Gefahrgut enthalten, wurden im Mai 2025 nach Frankreich verschickt.",How many distinct transport units containing both tires and hazardous materials were shipped to France during May 2025?,Very Difficult,27.06,278.47,1.76,True,False,,,False,307.31,1.0
Wilhelm,Orders / Fulfilment,Difficult,Which product group is shipped the most to each country in the last year? Rank by country.,What are the top product groups by total quantity shipped to each country in the past year?,Very Difficult,24.9,222.31,2.84,True,False,,,False,250.05,1.0
Wilhelm,Transport / Shipping,Difficult,"How many different Transport unit Types where shipped last week, what is their fillrate index and how much tara weight was it in total.","What is the transport unit type, fill rate index (calculated as the ratio of total article weight to maximum load weight), and total tara weight (difference between total gross weight and article weight) for each transport unit type that was created in the previous week?",Very Difficult,20.69,518.01,2.58,True,False,,,False,541.29,0.7
